Minimums	Eclipse_#	O-C	O-C_Error
2458865.83951	5502.5	-0.03974	0.00042
2458865.99698	5503.0	-0.03875	0.00057
2458866.15257	5503.5	-0.03964	0.00074
2458866.31061	5504.0	-0.03809	0.00060
2458866.46487	5504.5	-0.04031	0.00047
2458866.62232	5505.0	-0.03935	0.00063
2458866.77851	5505.5	-0.03964	0.00064
2458866.93607	5506.0	-0.03857	0.00073
2458867.09138	5506.5	-0.03974	0.00079
2458867.24833	5507.0	-0.03928	0.00118
2458867.40534	5507.5	-0.03876	0.00056
2458867.56367	5508.0	-0.03691	0.00104
2458867.71741	5508.5	-0.03965	0.00050
2458867.87487	5509.0	-0.03868	0.00060
2458868.03104	5509.5	-0.03899	0.00039
2458868.18726	5510.0	-0.03926	0.00093
2458868.34401	5510.5	-0.03899	0.00055
2458868.50027	5511.0	-0.03922	0.00101
2458868.65685	5511.5	-0.03912	0.00053
2458870.53411	5517.5	-0.03968	0.00046
2458870.68949	5518.0	-0.04079	0.00095
2458870.84686	5518.5	-0.03990	0.00038
2458871.00372	5519.0	-0.03953	0.00060
2458871.15987	5519.5	-0.03987	0.00038
2458871.31663	5520.0	-0.03959	0.00116
2458871.47266	5520.5	-0.04005	0.00047
2458871.63013	5521.0	-0.03906	0.00061
2458871.78557	5521.5	-0.04011	0.00073
2458871.94307	5522.0	-0.03909	0.00052
2458872.09912	5522.5	-0.03952	0.00053
2458872.25632	5523.0	-0.03881	0.00077
2458872.41162	5523.5	-0.03999	0.00074
2458872.56887	5524.0	-0.03923	0.00082
2458872.72439	5524.5	-0.04019	0.00065
2458872.88156	5525.0	-0.03950	0.00057
2458873.03753	5525.5	-0.04003	0.00067
2458873.19524	5526.0	-0.03880	0.00079
2458873.35101	5526.5	-0.03951	0.00079
2458873.50788	5527.0	-0.03913	0.00076
2458873.66378	5527.5	-0.03971	0.00058
2458873.82087	5528.0	-0.03911	0.00074
2458873.97656	5528.5	-0.03991	0.00048
2458874.13422	5529.0	-0.03873	0.00040
2458874.29055	5529.5	-0.03888	0.00099
2458874.44701	5530.0	-0.03891	0.00042
2458874.60312	5530.5	-0.03928	0.00038
2458874.75986	5531.0	-0.03903	0.00041
2458874.91565	5531.5	-0.03973	0.00089
2458875.07305	5532.0	-0.03881	0.00046
2458875.22932	5532.5	-0.03902	0.00105
2458875.38588	5533.0	-0.03895	0.00052
2458875.54199	5533.5	-0.03932	0.00132
2458875.69882	5534.0	-0.03898	0.00046
2458875.85579	5534.5	-0.03850	0.00042
2458876.01149	5535.0	-0.03928	0.00041
2458876.16799	5535.5	-0.03927	0.00083
2458876.32421	5536.0	-0.03953	0.00056
2458876.48093	5536.5	-0.03930	0.00064
2458876.63738	5537.0	-0.03933	0.00057
2458876.79452	5537.5	-0.03868	0.00113
2458876.95028	5538.0	-0.03939	0.00052
2458877.10599	5538.5	-0.04017	0.00120
2458877.26379	5539.0	-0.03886	0.00043
2458877.41879	5539.5	-0.04034	0.00110
2458877.57620	5540.0	-0.03942	0.00047
2458877.73290	5540.5	-0.03921	0.00172
2458877.88897	5541.0	-0.03962	0.00061
2458878.04511	5541.5	-0.03996	0.00040
2458878.20166	5542.0	-0.03989	0.00052
2458878.35780	5542.5	-0.04025	0.00092
2458878.51455	5543.0	-0.03997	0.00065
2458878.66961	5543.5	-0.04140	0.00047
2458878.82750	5544.0	-0.04000	0.00057
2458878.98385	5544.5	-0.04013	0.00068
2458879.14035	5545.0	-0.04012	0.00066
2458879.29700	5545.5	-0.03995	0.00067
2458879.45352	5546.0	-0.03991	0.00039
2458879.60853	5546.5	-0.04140	0.00046
2458879.76630	5547.0	-0.04011	0.00071
2458879.92277	5547.5	-0.04012	0.00065
2458880.07962	5548.0	-0.03976	0.00076
2458880.23529	5548.5	-0.04057	0.00052
2458880.39264	5549.0	-0.03971	0.00080
2458880.54900	5549.5	-0.03984	0.00060
2458880.70585	5550.0	-0.03947	0.00060
2458880.86184	5550.5	-0.03996	0.00082
2458881.01839	5551.0	-0.03990	0.00096
2458881.17315	5551.5	-0.04163	0.00075
2458881.33219	5552.0	-0.03907	0.00062
2458881.48664	5552.5	-0.04110	0.00076
2458881.64587	5553.0	-0.03836	0.00057
2458881.80101	5553.5	-0.03970	0.00062
2458881.95758	5554.0	-0.03962	0.00072
2458882.11402	5554.5	-0.03967	0.00047
2458882.27020	5555.0	-0.03997	0.00099
2458882.42732	5555.5	-0.03933	0.00042
2458882.58380	5556.0	-0.03934	0.00089
2458882.74021	5556.5	-0.03941	0.00052
2458882.89662	5557.0	-0.03949	0.00080
2458883.05296	5557.5	-0.03963	0.00045
2458883.20978	5558.0	-0.03930	0.00098
2458883.36593	5558.5	-0.03963	0.00054
2458883.52376	5559.0	-0.03829	0.00044
2458883.67883	5559.5	-0.03970	0.00044
2458883.83597	5560.0	-0.03905	0.00122
2458885.08611	5564.0	-0.04079	0.00049
2458885.24318	5564.5	-0.04020	0.00067
2458885.40063	5565.0	-0.03924	0.00054
2458885.55617	5565.5	-0.04018	0.00041
2458885.71286	5566.0	-0.03998	0.00054
2458885.86996	5566.5	-0.03937	0.00056
2458886.02626	5567.0	-0.03955	0.00058
2458886.18277	5567.5	-0.03952	0.00072
2458886.33929	5568.0	-0.03949	0.00072
2458886.49649	5568.5	-0.03877	0.00072
2458886.65266	5569.0	-0.03909	0.00069
2458886.80983	5569.5	-0.03841	0.00058
2458886.96526	5570.0	-0.03946	0.00085
2458887.12322	5570.5	-0.03798	0.00060
2458887.27836	5571.0	-0.03933	0.00060
2458887.43631	5571.5	-0.03786	0.00073
2458887.59148	5572.0	-0.03918	0.00090
2458887.74828	5572.5	-0.03887	0.00093
2458887.90453	5573.0	-0.03910	0.00062
2458888.05995	5573.5	-0.04016	0.00068
2458888.21730	5574.0	-0.03930	0.00065
2458888.37273	5574.5	-0.04036	0.00091
2458888.53034	5575.0	-0.03923	0.00056
2458888.68588	5575.5	-0.04017	0.00089
2458888.84333	5576.0	-0.03921	0.00054
2458888.99882	5576.5	-0.04020	0.00125
2458889.15607	5577.0	-0.03944	0.00057
2458889.31195	5577.5	-0.04005	0.00117
2458889.46915	5578.0	-0.03933	0.00047
2458889.64769	5578.5	-0.01728	0.00030
2458889.78238	5579.0	-0.03907	0.00049
2458889.93843	5579.5	-0.03950	0.00048
2458890.09575	5580.0	-0.03867	0.00040
2458889.93843	5579.5	-0.03950	0.00048
2458890.09572	5580.0	-0.03870	0.00068
2458890.25085	5580.5	-0.04005	0.00110
2458890.40824	5581.0	-0.03915	0.00047
2458890.56389	5581.5	-0.03998	0.00148
2458890.72060	5582.0	-0.03975	0.00053
2458890.87747	5582.5	-0.03937	0.00083
2458891.03362	5583.0	-0.03971	0.00061
2458891.18937	5583.5	-0.04044	0.00113
2458891.34559	5584.0	-0.04071	0.00041
2458891.47648	5584.5	-0.06631	0.00031
2458891.65844	5585.0	-0.04083	0.00038
2458891.79139	5585.5	-0.06437	0.00031
2458891.97175	5586.0	-0.04049	0.00044
2458892.12825	5586.5	-0.04047	0.00069
2458892.28455	5587.0	-0.04066	0.00038
2458892.44067	5587.5	-0.04102	0.00051
2458892.59782	5588.0	-0.04036	0.00054
2458892.75403	5588.5	-0.04063	0.00084
2458892.91069	5589.0	-0.04046	0.00078
2458893.06667	5589.5	-0.04096	0.00066
2458893.22370	5590.0	-0.04042	0.00075
2458893.37991	5590.5	-0.04070	0.00081
2458893.53650	5591.0	-0.04059	0.00065
2458893.69267	5591.5	-0.04091	0.00058
2458893.84944	5592.0	-0.04062	0.00074
2458894.00571	5592.5	-0.04084	0.00057
2458894.16251	5593.0	-0.04051	0.00066
2458894.31810	5593.5	-0.04141	0.00042
2458894.47623	5594.0	-0.03977	0.00064
2458894.63064	5594.5	-0.04185	0.00038
2458894.78871	5595.0	-0.04026	0.00051
2458894.94390	5595.5	-0.04156	0.00076
2458895.10251	5596.0	-0.03942	0.00096
2458895.25709	5596.5	-0.04133	0.00046
2458895.41435	5597.0	-0.04056	0.00090
2458895.57046	5597.5	-0.04093	0.00043
2458895.72761	5598.0	-0.04027	0.00047
2458895.88374	5598.5	-0.04062	0.00073
2458896.04112	5599.0	-0.03973	0.00068
2458896.19681	5599.5	-0.04052	0.00067
2458896.35379	5600.0	-0.04003	0.00075
2458896.51045	5600.5	-0.03986	0.00060
2458896.66686	5601.0	-0.03993	0.00066
2458896.82312	5601.5	-0.04015	0.00055
2458896.98118	5602.0	-0.03858	0.00084
2458897.13608	5602.5	-0.04016	0.00047
2458897.29010	5603.0	-0.04263	0.00142
2458897.44907	5603.5	-0.04015	0.00043
2459390.83518	7180.0	-0.05124	0.00045
2459390.99127	7180.5	-0.05164	0.00041
2459391.14831	7181.0	-0.05108	0.00060
2459391.30439	7181.5	-0.05148	0.00048
2459391.46126	7182.0	-0.05110	0.00044
2459391.61735	7182.5	-0.05149	0.00040
2459391.77409	7183.0	-0.05124	0.00050
2459391.93031	7183.5	-0.05150	0.00055
2459392.08693	7184.0	-0.05137	0.00058
2459392.24326	7184.5	-0.05153	0.00044
2459392.39999	7185.0	-0.05128	0.00059
2459392.55627	7185.5	-0.05148	0.00038
2459392.71325	7186.0	-0.05099	0.00055
2459392.86926	7186.5	-0.05147	0.00046
2459393.02574	7187.0	-0.05147	0.00060
2459393.18219	7187.5	-0.05151	0.00040
2459393.33880	7188.0	-0.05138	0.00041
2459393.49554	7188.5	-0.05112	0.00045
2459393.65172	7189.0	-0.05142	0.00050
2459393.80836	7189.5	-0.05128	0.00062
2459393.96471	7190.0	-0.05140	0.00048
2459394.12139	7190.5	-0.05122	0.00050
2459394.27770	7191.0	-0.05138	0.00041
2459394.43444	7191.5	-0.05114	0.00046
2459394.59063	7192.0	-0.05143	0.00039
2459394.74742	7192.5	-0.05113	0.00056
2459394.90360	7193.0	-0.05143	0.00046
2459395.05966	7193.5	-0.05185	0.00062
2459395.21652	7194.0	-0.05148	0.00039
2459395.37306	7194.5	-0.05142	0.00055
2459395.52945	7195.0	-0.05152	0.00055
2459395.68598	7195.5	-0.05147	0.00044
2459395.84247	7196.0	-0.05147	0.00053
2459395.99877	7196.5	-0.05165	0.00056
2459396.15531	7197.0	-0.05160	0.00040
2459396.31206	7197.5	-0.05133	0.00073
