Minimums	Eclipse_#	O-C	O-C_Error
2459583.61976	7796.0	-0.05618	0.00065
2459583.77638	7796.5	-0.05604	0.00041
2459583.93254	7797.0	-0.05636	0.00073
2459584.08957	7797.5	-0.05582	0.00047
2459584.24573	7798.0	-0.05615	0.00056
2459584.40180	7798.5	-0.05656	0.00055
2459584.55964	7799.0	-0.05521	0.00060
2459584.71450	7799.5	-0.05683	0.00053
2459584.87271	7800.0	-0.05511	0.00040
2459585.02764	7800.5	-0.05666	0.00051
2459585.18552	7801.0	-0.05527	0.00071
2459585.34038	7801.5	-0.05689	0.00050
2459585.49812	7802.0	-0.05564	0.00039
2459585.65426	7802.5	-0.05598	0.00055
2459585.81106	7803.0	-0.05567	0.00046
2459585.96595	7803.5	-0.05726	0.00076
2459586.12408	7804.0	-0.05562	0.00047
2459586.28002	7804.5	-0.05616	0.00048
2459586.43708	7805.0	-0.05559	0.00039
2459586.59244	7805.5	-0.05672	0.00068
2459586.74963	7806.0	-0.05601	0.00044
2459586.90571	7806.5	-0.05641	0.00068
2459587.06217	7807.0	-0.05644	0.00046
2459587.21934	7807.5	-0.05575	0.00045
2459587.37586	7808.0	-0.05572	0.00055
2459587.53198	7808.5	-0.05608	0.00058
2459587.69021	7809.0	-0.05434	0.00059
2459587.84435	7809.5	-0.05669	0.00074
2459588.00295	7810.0	-0.05457	0.00082
2459588.15855	7810.5	-0.05545	0.00039
2459588.31564	7811.0	-0.05485	0.00066
2459588.47096	7811.5	-0.05602	0.00044
2459588.62827	7812.0	-0.05519	0.00049
2459588.78515	7812.5	-0.05480	0.00074
2459588.94112	7813.0	-0.05531	0.00062
2459589.09735	7813.5	-0.05556	0.00054
2459589.25409	7814.0	-0.05531	0.00057
2459589.41045	7814.5	-0.05544	0.00072
2459589.56607	7815.0	-0.05630	0.00039
2459589.72358	7815.5	-0.05527	0.00040
2459589.87972	7816.0	-0.05562	0.00040
2459590.03616	7816.5	-0.05566	0.00040
2459590.19274	7817.0	-0.05557	0.00038
2459590.34851	7817.5	-0.05629	0.00067
2459590.50614	7818.0	-0.05514	0.00067
2459590.66178	7818.5	-0.05598	0.00055
2459590.81867	7819.0	-0.05558	0.00046
2459590.97449	7819.5	-0.05625	0.00042
2459591.13202	7820.0	-0.05520	0.00053
2459591.28670	7820.5	-0.05700	0.00051
2459591.44569	7821.0	-0.05450	0.00059
2459591.60000	7821.5	-0.05667	0.00041
2459591.75832	7822.0	-0.05483	0.00050
2459591.91220	7822.5	-0.05744	0.00047
2459592.07129	7823.0	-0.05484	0.00077
2459592.22666	7823.5	-0.05595	0.00044
2459592.38382	7824.0	-0.05527	0.00044
2459592.53945	7824.5	-0.05613	0.00038
2459592.69592	7825.0	-0.05615	0.00063
2459592.85258	7825.5	-0.05598	0.00045
2459594.57381	7831.0	-0.05608	0.00045
2459594.73038	7831.5	-0.05600	0.00054
2459594.88708	7832.0	-0.05577	0.00042
2459595.04323	7832.5	-0.05612	0.00058
2459595.19763	7833.0	-0.05820	0.00109
2459595.35576	7833.5	-0.05655	0.00058
2459595.51264	7834.0	-0.05616	0.00054
2459595.66883	7834.5	-0.05646	0.00115
2459595.82452	7835.0	-0.05725	0.00085
2459595.98114	7835.5	-0.05712	0.00083
2459596.13832	7836.0	-0.05642	0.00058
2459596.29497	7836.5	-0.05626	0.00081
2459596.45096	7837.0	-0.05674	0.00053
2459596.60891	7837.5	-0.05529	0.00050
2459596.76400	7838.0	-0.05668	0.00041
2459596.92141	7838.5	-0.05576	0.00053
2459597.07769	7839.0	-0.05596	0.00074
2459597.23444	7839.5	-0.05569	0.00043
2459597.39040	7840.0	-0.05622	0.00045
2459597.54692	7840.5	-0.05618	0.00048
2459597.70486	7841.0	-0.05473	0.00057
2459597.85980	7841.5	-0.05628	0.00041
2459598.01724	7842.0	-0.05532	0.00078
2459598.17231	7842.5	-0.05674	0.00049
2459598.33035	7843.0	-0.05518	0.00051
2459598.48504	7843.5	-0.05697	0.00048
2459598.64305	7844.0	-0.05545	0.00052
2459598.79941	7844.5	-0.05557	0.00071
2459598.95585	7845.0	-0.05562	0.00049
2459599.11178	7845.5	-0.05617	0.00059
2459599.26861	7846.0	-0.05583	0.00051
2459599.42517	7846.5	-0.05576	0.00074
2459599.58156	7847.0	-0.05584	0.00041
2459599.73874	7847.5	-0.05515	0.00090
2459599.89437	7848.0	-0.05601	0.00044
2459600.04953	7848.5	-0.05734	0.00059
2459600.20772	7849.0	-0.05563	0.00054
2459600.36325	7849.5	-0.05659	0.00066
2459600.52022	7850.0	-0.05610	0.00041
2459600.67628	7850.5	-0.05653	0.00054
2459600.83289	7851.0	-0.05640	0.00041
2459600.98839	7851.5	-0.05738	0.00043
2459601.14649	7852.0	-0.05577	0.00052
2459601.30316	7852.5	-0.05558	0.00041
2459601.45861	7853.0	-0.05662	0.00053
2459601.61595	7853.5	-0.05577	0.00041
2459601.77231	7854.0	-0.05589	0.00041
2459601.92867	7854.5	-0.05602	0.00045
2459602.08581	7855.0	-0.05536	0.00038
2459602.24152	7855.5	-0.05613	0.00065
2459602.39899	7856.0	-0.05515	0.00077
2459602.55450	7856.5	-0.05612	0.00042
2459602.71197	7857.0	-0.05514	0.00064
2459602.86691	7857.5	-0.05669	0.00040
2459603.02479	7858.0	-0.05529	0.00051
2459603.18110	7858.5	-0.05547	0.00086
2459603.33768	7859.0	-0.05537	0.00043
2459603.49439	7859.5	-0.05514	0.00045
2459603.64942	7860.0	-0.05660	0.00057
2459603.80700	7860.5	-0.05551	0.00053
2459603.96312	7861.0	-0.05587	0.00041
2459604.11977	7861.5	-0.05570	0.00085
2459604.27606	7862.0	-0.05590	0.00062
2459604.43270	7862.5	-0.05575	0.00080
2459604.58913	7863.0	-0.05580	0.00042
2459604.74506	7863.5	-0.05636	0.00040
2459604.90169	7864.0	-0.05621	0.00055
2459605.05773	7864.5	-0.05665	0.00057
2459605.21455	7865.0	-0.05632	0.00043
2459605.37076	7865.5	-0.05659	0.00060
2459605.52722	7866.0	-0.05662	0.00054
2459605.68353	7866.5	-0.05680	0.00055
2459605.84028	7867.0	-0.05653	0.00043
2459605.99761	7867.5	-0.05568	0.00045
2459606.15356	7868.0	-0.05622	0.00064
2459606.30999	7868.5	-0.05627	0.00041
2459606.46742	7869.0	-0.05532	0.00045
2459606.62324	7869.5	-0.05599	0.00058
2459606.77958	7870.0	-0.05614	0.00062
2459608.03164	7874.0	-0.05596	0.00043
2459608.18667	7874.5	-0.05742	0.00061
2459608.34400	7875.0	-0.05657	0.00068
2459608.81229	7876.5	-0.05773	0.00107
2459608.97046	7877.0	-0.05605	0.00042
2459609.12607	7877.5	-0.05693	0.00043
2459609.28368	7878.0	-0.05580	0.00044
2459609.43910	7878.5	-0.05686	0.00057
2459609.75265	7879.5	-0.05629	0.00064
2459609.90954	7880.0	-0.05588	0.00052
2459610.06534	7880.5	-0.05657	0.00054
2459610.22332	7881.0	-0.05507	0.00100
2459610.37841	7881.5	-0.05647	0.00046
2459610.53569	7882.0	-0.05567	0.00077
2459610.69148	7882.5	-0.05636	0.00039
2459610.84896	7883.0	-0.05537	0.00062
2459611.00444	7883.5	-0.05638	0.00059
2459611.16180	7884.0	-0.05550	0.00062
2459611.31753	7884.5	-0.05626	0.00041
2459611.47564	7885.0	-0.05463	0.00059
2459611.63026	7885.5	-0.05649	0.00045
2459611.78716	7886.0	-0.05608	0.00067
2459611.94335	7886.5	-0.05638	0.00055
2459612.10018	7887.0	-0.05603	0.00107
2459612.25620	7887.5	-0.05649	0.00043
2459612.41321	7888.0	-0.05597	0.00040
2459612.56901	7888.5	-0.05665	0.00064
2459612.72620	7889.0	-0.05595	0.00062
2459612.88196	7889.5	-0.05668	0.00046
2459613.03903	7890.0	-0.05609	0.00060
2459613.19526	7890.5	-0.05634	0.00039
2459613.35185	7891.0	-0.05624	0.00068
2459613.50834	7891.5	-0.05623	0.00076
2459613.66457	7892.0	-0.05649	0.00049
2459613.82099	7892.5	-0.05655	0.00048
2459613.97803	7893.0	-0.05600	0.00044
2459614.13368	7893.5	-0.05684	0.00076
2459614.29165	7894.0	-0.05535	0.00078
2459614.44702	7894.5	-0.05647	0.00084
2459614.60396	7895.0	-0.05601	0.00144
2459614.91661	7896.0	-0.05633	0.00071
2459615.07294	7896.5	-0.05648	0.00051
2459615.23003	7897.0	-0.05588	0.00074
2459615.38611	7897.5	-0.05629	0.00059
2459615.54302	7898.0	-0.05586	0.00047
2459615.69894	7898.5	-0.05643	0.00044
2459615.85635	7899.0	-0.05550	0.00057
2459616.01202	7899.5	-0.05632	0.00041
2459616.16868	7900.0	-0.05614	0.00051
2459616.32510	7900.5	-0.05621	0.00043
2459616.48154	7901.0	-0.05625	0.00069
2459616.63797	7901.5	-0.05630	0.00053
2459616.79441	7902.0	-0.05635	0.00041
2459616.95093	7902.5	-0.05631	0.00039
2459617.10733	7903.0	-0.05640	0.00051
2459617.26368	7903.5	-0.05654	0.00066
2459617.42032	7904.0	-0.05638	0.00062
2459617.57697	7904.5	-0.05621	0.00042
2459617.73338	7905.0	-0.05629	0.00048
2459617.88964	7905.5	-0.05651	0.00045
2459618.04652	7906.0	-0.05612	0.00044
2459618.20290	7906.5	-0.05622	0.00063
2459618.35932	7907.0	-0.05629	0.00048
2459618.51616	7907.5	-0.05593	0.00063
2459618.67246	7908.0	-0.05611	0.00039
2459618.82866	7908.5	-0.05641	0.00062
2459618.98534	7909.0	-0.05621	0.00049
2459619.14120	7909.5	-0.05684	0.00042
2459619.29792	7910.0	-0.05660	0.00043
2459619.45496	7910.5	-0.05604	0.00045
2459619.61125	7911.0	-0.05623	0.00057
2459619.76756	7911.5	-0.05641	0.00058
2459619.92431	7912.0	-0.05615	0.00041
2459620.08050	7912.5	-0.05645	0.00042
2459620.23672	7913.0	-0.05670	0.00060
2459620.39328	7913.5	-0.05663	0.00046
2459620.55027	7914.0	-0.05613	0.00043
2459620.70626	7914.5	-0.05663	0.00044
2459620.86265	7915.0	-0.05671	0.00062
2459621.01938	7915.5	-0.05647	0.00041
2459621.17656	7916.0	-0.05578	0.00042
2459621.33224	7916.5	-0.05659	0.00043
2459621.48886	7917.0	-0.05645	0.00084
2459623.21171	7922.5	-0.05493	0.00180
2459623.36852	7923.0	-0.05461	0.00106
2459623.67980	7924.0	-0.05630	0.00058
2459623.83583	7924.5	-0.05675	0.00048
2459623.98985	7925.0	-0.05921	0.00185
2459624.14863	7925.5	-0.05692	0.00057
2459624.30619	7926.0	-0.05585	0.00038
2459624.46135	7926.5	-0.05718	0.00059
2459624.61901	7927.0	-0.05600	0.00045
2459624.77419	7927.5	-0.05731	0.00058
2459624.93143	7928.0	-0.05655	0.00102
2459625.08761	7928.5	-0.05686	0.00038
2459625.24429	7929.0	-0.05666	0.00056
2459625.40059	7929.5	-0.05685	0.00047
2459625.55779	7930.0	-0.05613	0.00085
2459625.71352	7930.5	-0.05689	0.00053
2459625.87151	7931.0	-0.05538	0.00065
2459626.02666	7931.5	-0.05672	0.00042
2459626.18392	7932.0	-0.05594	0.00074
2459626.33986	7932.5	-0.05648	0.00039
2459626.49675	7933.0	-0.05608	0.00058
2459626.65298	7933.5	-0.05633	0.00054
2459626.80896	7934.0	-0.05684	0.00057
2459626.96542	7934.5	-0.05686	0.00055
2459627.12252	7935.0	-0.05625	0.00059
2459627.27880	7935.5	-0.05645	0.00065
2459627.43515	7936.0	-0.05659	0.00042
2459627.59218	7936.5	-0.05604	0.00076
2459627.74809	7937.0	-0.05662	0.00044
2459627.90541	7937.5	-0.05578	0.00057
2459628.06121	7938.0	-0.05647	0.00056
2459628.21643	7938.5	-0.05773	0.00078
2459628.37413	7939.0	-0.05652	0.00068
2459628.52976	7939.5	-0.05738	0.00067
2459628.68670	7940.0	-0.05692	0.00039
2459628.84329	7940.5	-0.05682	0.00077
2459629.00030	7941.0	-0.05629	0.00055
2459629.15639	7941.5	-0.05669	0.00064
2459629.31249	7942.0	-0.05707	0.00045
2459629.46999	7942.5	-0.05605	0.00062
2459629.62672	7943.0	-0.05581	0.00069
2459629.78207	7943.5	-0.05694	0.00039
2459629.93913	7944.0	-0.05637	0.00047
2459630.09502	7944.5	-0.05697	0.00039
2459630.25205	7945.0	-0.05642	0.00065
2459630.40792	7945.5	-0.05704	0.00046
2459630.56477	7946.0	-0.05667	0.00080
2459630.72135	7946.5	-0.05658	0.00046
2459630.87767	7947.0	-0.05674	0.00040
2459631.03418	7947.5	-0.05671	0.00057
2459631.19138	7948.0	-0.05600	0.00048
2459631.34649	7948.5	-0.05738	0.00055
2459631.50324	7949.0	-0.05711	0.00050
2459631.65939	7949.5	-0.05744	0.00046
2459631.81677	7950.0	-0.05654	0.00043
2459631.97297	7950.5	-0.05683	0.00069
2459632.13003	7951.0	-0.05625	0.00041
2459632.28551	7951.5	-0.05727	0.00077
2459632.44272	7952.0	-0.05654	0.00056
2459632.59873	7952.5	-0.05702	0.00045
2459632.75574	7953.0	-0.05649	0.00044
2459632.91084	7953.5	-0.05788	0.00111
2459633.06853	7954.0	-0.05667	0.00042
2459633.22563	7954.5	-0.05605	0.00068
2459633.38140	7955.0	-0.05677	0.00059
2459633.53802	7955.5	-0.05663	0.00045
2459633.69425	7956.0	-0.05689	0.00056
2459633.85068	7956.5	-0.05694	0.00056
2459634.00677	7957.0	-0.05734	0.00045
2459634.16359	7957.5	-0.05701	0.00068
2459634.31989	7958.0	-0.05718	0.00076
2459634.47651	7958.5	-0.05705	0.00055
2459634.63392	7959.0	-0.05613	0.00055
2459634.79040	7959.5	-0.05613	0.00040
2459634.94614	7960.0	-0.05688	0.00077
2459635.10251	7960.5	-0.05700	0.00045
2459635.25928	7961.0	-0.05671	0.00049
2459635.41487	7961.5	-0.05760	0.00041
2459635.57168	7962.0	-0.05728	0.00039
2459635.72798	7962.5	-0.05747	0.00065
2459635.88564	7963.0	-0.05628	0.00043
